#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
1,CVE-2018-9861,79,None,XSS,4/19/18,5/22/18,4.3,None,Remote,Medium,Not required,None,Partial,None,"Cross-site scripting (XSS) vulnerability in the Enhanced Image (aka image2) plugin for CKEditor (in versions 4.5.10 through 4.9.1; fixed in 4.9.2), as used in Drupal 8 before 8.4.7 and 8.5.x before 8.5.2 and other products, allows remote attackers to inject arbitrary web script through a crafted IMG element."
2,CVE-2018-7600,20,None,Exec Code,3/29/18,6/11/18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"Drupal before 7.58, 8.x before 8.3.9, 8.4.x before 8.4.6, and 8.5.x before 8.5.1 allows remote attackers to execute arbitrary code because of an issue affecting multiple subsystems with default or common module configurations."
3,CVE-2017-6932,601,None,None,3/1/18,3/22/18,5.8,None,Remote,Medium,Not required,Partial,Partial,None,Drupal core 7.x versions before 7.57 has an external link injection vulnerability when the language switcher block is used. A similar vulnerability exists in various custom and contributed modules. This vulnerability could allow an attacker to trick users into unwillingly navigating to an external site.
4,CVE-2017-6929,79,None,XSS,3/1/18,3/21/18,4.3,None,Remote,Medium,Not required,None,Partial,None,"A jQuery cross site scripting vulnerability is present when making Ajax requests to untrusted domains. This vulnerability is mitigated by the fact that it requires contributed or custom modules in order to exploit. For Drupal 8, this vulnerability was already fixed in Drupal 8.4.0 in the Drupal core upgrade to jQuery 3. For Drupal 7, it is fixed in the current release (Drupal 7.57) for jQuery 1.4.4 (the version that ships with Drupal 7 core) as well as for other newer versions of jQuery that might be used on the site, for example using the jQuery Update module."
5,CVE-2017-6928,284,None,Bypass,3/1/18,3/21/18,3.5,None,Remote,Medium,Single system,Partial,None,None,"Drupal core 7.x versions before 7.57 when using Drupal's private file system, Drupal will check to make sure a user has access to a file before allowing the user to view or download it. This check fails under certain conditions in which one module is trying to grant access to the file and another is trying to deny it, leading to an access bypass vulnerability. This vulnerability is mitigated by the fact that it only occurs for unusual site configurations."
6,CVE-2017-6927,79,None,XSS,3/1/18,3/22/18,4.3,None,Remote,Medium,Not required,None,Partial,None,"Drupal 8.4.x versions before 8.4.5 and Drupal 7.x versions before 7.57 has a Drupal.checkPlain() JavaScript function which is used to escape potentially dangerous text before outputting it to HTML (as JavaScript output does not typically go through Twig autoescaping). This function does not correctly handle all methods of injecting malicious HTML, leading to a cross-site scripting vulnerability under certain circumstances. The PHP functions which Drupal provides for HTML escaping are not affected."
7,CVE-2017-6919,284,None,Bypass,4/19/17,7/10/17,6,None,Remote,Medium,Single system,Partial,Partial,Partial,Drupal 8 before 8.2.8 and 8.3 before 8.3.1 allows critical access bypass by authenticated users if the RESTful Web Services (rest) module is enabled and the site allows PATCH requests.
8,CVE-2017-6381,284,None,Exec Code,3/16/17,7/11/17,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"A 3rd party development library including with Drupal 8 development dependencies is vulnerable to remote code execution. This is mitigated by the default .htaccess protection against PHP execution, and the fact that Composer development dependencies aren't normal installed. You might be vulnerable to this if you are running a version of Drupal before 8.2.2. To be sure you aren't vulnerable, you can remove the <siteroot>/vendor/phpunit directory from your production deployments"
9,CVE-2017-6379,352,None,CSRF,3/16/17,7/11/17,5.1,None,Remote,High,Not required,Partial,Partial,Partial,Some administrative paths in Drupal 8.2.x before 8.2.7 did not include protection for CSRF. This would allow an attacker to disable some blocks on a site. This issue is mitigated by the fact that users would have to know the block ID.
10,CVE-2017-6377,284,None,Bypass,3/16/17,7/11/17,5,None,Remote,Low,Not required,None,Partial,None,"When adding a private file via the editor in Drupal 8.2.x before 8.2.7, the editor will not correctly check access for the file being attached, resulting in an access bypass."
11,CVE-2016-9452,20,None,DoS,11/25/16,11/29/16,4.3,None,Remote,Medium,Not required,None,None,Partial,The transliterate mechanism in Drupal 8.x before 8.2.3 allows remote attackers to cause a denial of service via a crafted URL.
12,CVE-2016-9451,601,None,None,11/25/16,1/6/17,4.9,None,Remote,Medium,Single system,Partial,Partial,None,Confirmation forms in Drupal 7.x before 7.52 make it easier for remote authenticated users to conduct open redirect attacks via unspecified vectors.
13,CVE-2016-9450,345,None,None,11/25/16,11/29/16,5,None,Remote,Low,Not required,None,Partial,None,The user password reset form in Drupal 8.x before 8.2.3 allows remote attackers to conduct cache poisoning attacks by leveraging failure to specify a correct cache context.
14,CVE-2016-9449,200,None,#NAME?,11/25/16,1/6/17,4,None,Remote,Low,Single system,Partial,None,None,The taxonomy module in Drupal 7.x before 7.52 and 8.x before 8.2.3 might allow remote authenticated users to obtain sensitive information about taxonomy terms by leveraging inconsistent naming of access query tags.
15,CVE-2016-7572,264,None,Bypass,10/3/16,10/4/16,4,None,Remote,Low,Single system,Partial,None,None,"The system.temporary route in Drupal 8.x before 8.1.10 does not properly check for ""Export configuration"" permission, which allows remote authenticated users to bypass intended access restrictions and read a full config export via unspecified vectors."
16,CVE-2016-7571,79,None,XSS,10/3/16,10/4/16,4.3,None,Remote,Medium,Not required,None,Partial,None,Cross-site scripting (XSS) vulnerability in Drupal 8.x before 8.1.10 allows remote attackers to inject arbitrary web script or HTML via vectors involving an HTTP exception.
17,CVE-2016-7570,264,None,None,10/3/16,10/4/16,4,None,Remote,Low,Single system,Partial,None,None,"Drupal 8.x before 8.1.10 does not properly check for ""Administer comments"" permission, which allows remote authenticated users to set the visibility of comments for arbitrary nodes by leveraging rights to edit those nodes."
18,CVE-2016-6212,200,None,Bypass +Info,9/9/16,11/28/16,5,None,Remote,Low,Not required,Partial,None,None,The Views module 7.x-3.x before 7.x-3.14 in Drupal 7.x and the Views module in Drupal 8.x before 8.1.3 might allow remote authenticated users to bypass intended access restrictions and obtain sensitive Statistics information via unspecified vectors.
19,CVE-2016-6211,264,None,#NAME?,9/9/16,11/28/16,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,The User module in Drupal 7.x before 7.44 allows remote authenticated users to gain privileges via vectors involving contributed or custom code that triggers a rebuild of the user profile form.
20,CVE-2016-3171,19,None,Exec Code,4/12/16,5/9/16,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"Drupal 6.x before 6.38, when used with PHP before 5.4.45, 5.5.x before 5.5.29, or 5.6.x before 5.6.13, might allow remote attackers to execute arbitrary code via vectors related to session data truncation."
21,CVE-2016-3170,200,None,#NAME?,4/12/16,4/14/16,5,None,Remote,Low,Not required,Partial,None,None,"The ""have you forgotten your password"" links in the User module in Drupal 7.x before 7.43 and 8.x before 8.0.4 allow remote attackers to obtain sensitive username information by leveraging a configuration that permits using an email address to login and a module that permits logging in."
22,CVE-2016-3169,264,None,#NAME?,4/12/16,4/12/16,6.8,User,Remote,Medium,Not required,Partial,Partial,Partial,The User module in Drupal 6.x before 6.38 and 7.x before 7.43 allows remote attackers to gain privileges by leveraging contributed or custom code that calls the user_save function with an explicit category and loads all roles into the array.
23,CVE-2016-3168,254,None,None,4/12/16,4/14/16,8.5,None,Remote,Medium,Single system,Complete,Complete,Complete,"The System module in Drupal 6.x before 6.38 and 7.x before 7.43 might allow remote attackers to hijack the authentication of site administrators for requests that download and run files with arbitrary JSON-encoded content, aka a ""reflected file download vulnerability."""
24,CVE-2016-3167,None,None,None,4/12/16,4/18/16,6.4,None,Remote,Low,Not required,Partial,Partial,None,"Open redirect vulnerability in the drupal_goto function in Drupal 6.x before 6.38, when used with PHP before 5.4.7, allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via a double-encoded URL in the ""destination"" parameter."
25,CVE-2016-3166,None,None,Http R.Spl.,4/12/16,4/12/16,4.3,None,Remote,Medium,Not required,None,Partial,None,"CRLF injection vulnerability in the drupal_set_header function in Drupal 6.x before 6.38, when used with PHP before 5.1.2, allows remote attackers to inject arbitrary HTTP headers and conduct HTTP response splitting attacks by leveraging a module that allows user-submitted data to appear in HTTP headers."
26,CVE-2016-3165,284,None,Bypass,4/12/16,4/12/16,5,None,Remote,Low,Not required,None,Partial,None,"The Form API in Drupal 6.x before 6.38 ignores access restrictions on submit buttons, which might allow remote attackers to bypass intended access restrictions by leveraging permission to submit a form with a button that has ""#access"" set to FALSE in the server-side form definition."
27,CVE-2016-3164,None,None,None,4/12/16,4/12/16,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"Drupal 6.x before 6.38, 7.x before 7.43, and 8.x before 8.0.4 might allow remote attackers to conduct open redirect attacks by leveraging (1) custom code or (2) a form shown on a 404 error page, related to path manipulation."
28,CVE-2016-3163,254,None,None,4/12/16,4/18/16,5,None,Remote,Low,Not required,None,Partial,None,The XML-RPC system in Drupal 6.x before 6.38 and 7.x before 7.43 might make it easier for remote attackers to conduct brute-force attacks via a large number of calls made at once to the same method.
29,CVE-2016-3162,284,None,Bypass,4/12/16,4/22/16,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"The File module in Drupal 7.x before 7.43 and 8.x before 8.0.4 allows remote authenticated users to bypass access restrictions and read, delete, or substitute a link to a file uploaded to an unprocessed form by leveraging permission to create content or comment and upload files."
30,CVE-2015-7943,601,None,None,10/18/17,11/8/17,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"Open redirect vulnerability in the Overlay module in Drupal 7.x before 7.41, the jQuery Update module 7.x-2.x before 7.x-2.7 for Drupal, and the LABjs module 7.x-1.x before 7.x-1.8 allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via unspecified vectors.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2015-3233."
31,CVE-2015-7880,200,None,#NAME?,9/13/17,9/26/17,4,None,Remote,Low,Single system,Partial,None,None,"The Entity Registration module 7.x-1.x before 7.x-1.5 for Drupal allows remote attackers to obtain sensitive event registration information by leveraging the ""Register other accounts"" permission and knowledge of usernames."
32,CVE-2015-6665,79,None,XSS,8/24/15,12/23/16,4.3,None,Remote,Medium,Not required,None,Partial,None,"Cross-site scripting (XSS) vulnerability in the Ajax handler in Drupal 7.x before 7.39 and the Ctools module 6.x-1.x before 6.x-1.14 for Drupal allows remote attackers to inject arbitrary web script or HTML via vectors involving a whitelisted HTML element, possibly related to the ""a"" tag."
33,CVE-2015-6661,200,None,#NAME?,8/24/15,12/23/16,5,None,Remote,Low,Not required,Partial,None,None,Drupal 6.x before 6.37 and 7.x before 7.39 allows remote attackers to obtain sensitive node titles by reading the menu.
34,CVE-2015-6660,352,None,CSRF,8/24/15,12/23/16,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"The Form API in Drupal 6.x before 6.37 and 7.x before 7.39 does not properly validate the form token, which allows remote attackers to conduct CSRF attacks that upload files in a different user's account via vectors related to ""file upload value callbacks."""
35,CVE-2015-6659,89,None,Exec Code Sql,8/24/15,12/23/16,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,SQL injection vulnerability in the SQL comment filtering system in the Database API in Drupal 7.x before 7.39 allows remote attackers to execute arbitrary SQL commands via an SQL comment.
36,CVE-2015-6658,79,None,XSS,8/24/15,12/23/16,4.3,None,Remote,Medium,Not required,None,Partial,None,"Cross-site scripting (XSS) vulnerability in the Autocomplete system in Drupal 6.x before 6.37 and 7.x before 7.39 allows remote attackers to inject arbitrary web script or HTML via a crafted URL, related to uploading files."
37,CVE-2015-3234,20,None,None,6/22/15,12/2/16,4.3,None,Remote,Medium,Not required,None,Partial,None,"The OpenID module in Drupal 6.x before 6.36 and 7.x before 7.38 allows remote attackers to log into other users' accounts by leveraging an OpenID identity from certain providers, as demonstrated by the Verisign, LiveJournal, and StackExchange providers."
38,CVE-2015-3233,None,None,None,6/22/15,12/2/16,5.8,None,Remote,Medium,Not required,Partial,Partial,None,Open redirect vulnerability in the Overlay module in Drupal 7.x before 7.38 allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via unspecified vectors.
39,CVE-2015-3232,None,None,None,6/22/15,12/2/16,5.8,None,Remote,Medium,Not required,Partial,Partial,None,Open redirect vulnerability in the Field UI module in Drupal 7.x before 7.38 allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via a URL in the destinations parameter.
40,CVE-2015-3231,200,None,#NAME?,6/22/15,12/2/16,4,None,Remote,Low,Single system,Partial,None,None,"The Render cache system in Drupal 7.x before 7.38, when used to cache content by user role, allows remote authenticated users to obtain private content viewed by user 1 by reading the cache."
41,CVE-2015-2750,601,None,None,9/13/17,9/20/17,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"Open redirect vulnerability in URL-related API functions in Drupal 6.x before 6.35 and 7.x before 7.35 allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via vectors involving the ""//"" initial sequence."
42,CVE-2015-2749,601,None,None,9/13/17,9/21/17,5.8,None,Remote,Medium,Not required,Partial,Partial,None,Open redirect vulnerability in Drupal 6.x before 6.35 and 7.x before 7.35 allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via a URL in the destination parameter.
43,CVE-2015-2559,284,None,None,3/25/15,8/24/16,3.5,None,Remote,Medium,Single system,None,Partial,None,Drupal 6.x before 6.35 and 7.x before 7.35 allows remote authenticated users to reset the password of other accounts by leveraging an account with the same password hash as another account and a crafted password reset URL.
44,CVE-2014-9016,20,None,DoS,11/24/14,12/30/14,5,None,Remote,Low,Not required,None,None,Partial,The password hashing API in Drupal 7.x before 7.34 and the Secure Password Hashes (aka phpass) module 6.x-2.x before 6.x-2.1 for Drupal allows remote attackers to cause a denial of service (CPU and memory consumption) via a crafted request.
