#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
1,CVE-2018-8088,502,None,Bypass,2018-03-20,2018-08-16,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,org.slf4j.ext.EventData in the slf4j-ext module in QOS.CH SLF4J before 1.8.0-beta2 allows remote attackers to bypass intended access restrictions via crafted data.
2,CVE-2018-1067,113,None,Http R.Spl.,2018-05-21,2018-09-05,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"In Undertow before versions 7.1.2.CR1, 7.1.2.GA it was found that the fix for CVE-2016-4993 was incomplete and Undertow web server is vulnerable to the injection of arbitrary HTTP headers, and also response splitting, due to insufficient sanitization and validation of user input before the input is used as part of an HTTP header value."
3,CVE-2018-1048,22,None,Dir. Trav.,2018-01-24,2018-03-13,5.0,None,Remote,Low,Not required,Partial,None,None,"It was found that the AJP connector in undertow, as shipped in Jboss EAP 7.1.0.GA, does not use the ALLOW_ENCODED_SLASH option and thus allow the the slash / anti-slash characters encoded in the url which may lead to path traversal and result in the information disclosure of arbitrary local files."
4,CVE-2018-1041,399,None,DoS,2018-02-15,2018-03-15,5.0,None,Remote,Low,Not required,None,None,Partial,"A vulnerability was found in the way RemoteMessageChannel, introduced in jboss-remoting versions 3.3.10, reads from an empty buffer. An attacker could use this flaw to cause denial of service via high CPU caused by an infinite loop."
5,CVE-2017-12196,285,None,None,2018-04-17,2018-08-15,4.3,None,Remote,Medium,Not required,Partial,None,None,"undertow before versions 1.4.18.SP1, 2.0.2.Final, 1.4.24.Final was found vulnerable when using Digest authentication, the server does not ensure that the value of URI in the Authorization header matches the URI in HTTP request line. This allows the attacker to cause a MITM attack and access the desired content on the server."
6,CVE-2017-12189,264,None,None,2018-01-10,2018-02-07,4.6,None,Local,Low,Not required,Partial,Partial,Partial,It was discovered that the jboss init script as used in Red Hat JBoss Enterprise Application Platform 7.0.7.GA performed unsafe file handling which could result in local privilege escalation. This issue is a result of an incomplete fix for CVE-2016-8656.
7,CVE-2017-12174,400,None,None,2018-03-07,2018-03-29,7.8,None,Remote,Low,Not required,None,None,Complete,"It was found that when Artemis and HornetQ before 2.4.0 are configured with UDP discovery and JGroups discovery a huge byte array is created when receiving an unexpected multicast message. This may result in a heap memory exhaustion, full GC, or OutOfMemoryError."
8,CVE-2017-12149,502,None,Exec Code,2017-10-04,2018-05-19,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"In Jboss Application Server as shipped with Red Hat Enterprise Application Platform 5.2, it was found that the doFilter method in the ReadOnlyAccessFilter of the HTTP Invoker does not restrict classes for which it performs deserialization and thus allowing an attacker to execute arbitrary code via crafted serialized data."
9,CVE-2017-7561,19,None,None,2017-09-13,2018-03-13,5.0,None,Remote,Low,Not required,None,Partial,None,Red Hat JBoss EAP version 3.0.7 through before 4.0.0.Beta1 is vulnerable to a server-side cache poisoning or CORS requests in the JAX-RS component resulting in a moderate impact.
10,CVE-2017-7504,502,None,Exec Code,2017-05-19,2017-06-02,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"HTTPServerILServlet.java in JMS over HTTP Invocation Layer of the JbossMQ implementation, which is enabled by default in Red Hat Jboss Application Server <= Jboss 4.X does not restrict the classes for which it performs deserialization, which allows remote attackers to execute arbitrary code via crafted serialized data."
11,CVE-2017-7503,611,None,None,2017-05-18,2017-05-31,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"It was found that the Red Hat JBoss EAP 7.0.5 implementation of javax.xml.transform.TransformerFactory is vulnerable to XXE. An attacker could use this flaw to launch DoS or SSRF attacks, or read files from the server where EAP is deployed."
12,CVE-2017-7465,94,None,Exec Code,2018-06-27,2018-08-31,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"It was found that the JAXP implementation used in JBoss EAP 7.0 for XSLT processing is vulnerable to code injection. An attacker could use this flaw to cause remote code execution if they are able to provide XSLT content for parsing. Doing a transform in JAXP requires the use of a 'javax.xml.transform.TransformerFactory'. If the FEATURE_SECURE_PROCESSING feature is set to 'true', it mitigates this vulnerability."
13,CVE-2016-9585,502,None,DoS,2018-03-09,2018-03-27,2.6,None,Remote,High,Not required,None,None,Partial,Red Hat JBoss EAP version 5 is vulnerable to a deserialization of untrusted data in the JMX endpoint when deserializes the credentials passed to it. An attacker could exploit this vulnerability resulting in a denial of service attack.
14,CVE-2016-8656,264,None,None,2018-05-22,2018-06-27,4.6,None,Local,Low,Not required,Partial,Partial,Partial,"Jboss jbossas before versions 5.2.0-23, 6.4.13, 7.0.5 is vulnerable to an unsafe file handling in the jboss init script which could result in local privilege escalation."
15,CVE-2016-8627,400,None,None,2018-05-11,2018-06-15,4.3,None,Remote,Medium,Not required,None,None,Partial,"admin-cli before versions 3.0.0.alpha25, 2.2.1.cr2 is vulnerable to an EAP feature to download server log files that allows logs to be available via GET requests making them vulnerable to cross-origin attacks. An attacker could trigger the user's browser to request the log files consuming enough resources that normal server functioning could be impaired."
16,CVE-2016-7065,502,None,DoS Exec Code,2016-10-13,2016-12-22,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,The JMX servlet in Red Hat JBoss Enterprise Application Platform (EAP) 4 and 5 allows remote authenticated users to cause a denial of service and possibly execute arbitrary code via a crafted serialized Java object.
17,CVE-2016-7046,399,None,DoS,2016-10-03,2017-12-14,7.1,None,Remote,Medium,Not required,None,None,Complete,"Red Hat JBoss Enterprise Application Platform (EAP) 7, when operating as a reverse-proxy with default buffer sizes, allows remote attackers to cause a denial of service (CPU and disk consumption) via a long URL."
18,CVE-2016-6311,200,None,+Info,2017-08-22,2017-12-14,5.0,None,Remote,Low,Not required,Partial,None,None,Get requests in JBoss Enterprise Application Platform (EAP) 7 disclose internal IP addresses to remote attackers.
19,CVE-2016-5406,264,None,+Priv,2016-09-26,2017-12-14,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,The domain controller in Red Hat JBoss Enterprise Application Platform (EAP) 7.x before 7.0.2 allows remote authenticated users to gain privileges by leveraging failure to propagate administrative RBAC configuration to all slaves.
20,CVE-2016-4993,93,None,Http R.Spl.,2016-09-26,2017-12-14,4.3,None,Remote,Medium,Not required,None,Partial,None,"CRLF injection vulnerability in the Undertow web server in WildFly 10.0.0, as used in Red Hat JBoss Enterprise Application Platform (EAP) 7.x before 7.0.2, allows remote attackers to inject arbitrary HTTP headers and conduct HTTP response splitting attacks via unspecified vectors."
21,CVE-2016-3690,502,None,Exec Code,2017-06-08,2017-06-21,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,The PooledInvokerServlet in JBoss EAP 4.x and 5.x allows remote attackers to execute arbitrary code via a crafted serialized payload.
22,CVE-2016-2183,200,None,+Info,2016-08-31,2018-07-04,5.0,None,Remote,Low,Not required,Partial,None,None,"The DES and Triple DES ciphers, as used in the TLS, SSH, and IPSec protocols and other protocols and products, have a birthday bound of approximately four billion blocks, which makes it easier for remote attackers to obtain cleartext data via a birthday attack against a long-duration encrypted session, as demonstrated by an HTTPS session using Triple DES in CBC mode, aka a ""Sweet32"" attack."
23,CVE-2016-2141,264,None,Bypass,2016-06-30,2018-01-04,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"JGroups before 4.0 does not require the proper headers for the ENCRYPT and AUTH protocols from nodes joining the cluster, which allows remote attackers to bypass security restrictions and send and receive messages within the cluster via unspecified vectors."
24,CVE-2015-7501,502,None,Exec Code,2017-11-09,2018-07-18,10.0,None,Remote,Low,Not required,Complete,Complete,Complete,"Red Hat JBoss A-MQ 6.x; BPM Suite (BPMS) 6.x; BRMS 6.x and 5.x; Data Grid (JDG) 6.x; Data Virtualization (JDV) 6.x and 5.x; Enterprise Application Platform 6.x, 5.x, and 4.3.x; Fuse 6.x; Fuse Service Works (FSW) 6.x; Operations Network (JBoss ON) 3.x; Portal 6.x; SOA Platform (SOA-P) 5.x; Web Server (JWS) 3.x; Red Hat OpenShift/xPAAS 3.x; and Red Hat Subscription Asset Manager 1.3 allow remote attackers to execute arbitrary commands via a crafted serialized Java object, related to the Apache Commons Collections (ACC) library."
25,CVE-2015-5304,264,None,DoS,2015-12-16,2015-12-17,3.5,None,Remote,Medium,Single system,None,None,Partial,"Red Hat JBoss Enterprise Application Platform (EAP) before 6.4.5 does not properly authorize access to shut down the server, which allows remote authenticated users with the Monitor, Deployer, or Auditor role to cause a denial of service via unspecified vectors."
26,CVE-2015-5220,119,None,DoS Overflow,2015-10-27,2016-08-04,5.0,None,Remote,Low,Not required,None,None,Partial,The Web Console in Red Hat Enterprise Application Platform (EAP) before 6.4.4 and WildFly (formerly JBoss Application Server) allows remote attackers to cause a denial of service (memory consumption) via a large request header.
27,CVE-2015-5188,352,None,CSRF,2015-10-27,2015-10-28,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Cross-site request forgery (CSRF) vulnerability in the Web Console (web-console) in Red Hat Enterprise Application Platform before 6.4.4 and WildFly (formerly JBoss Application Server) before 2.0.0.CR9 allows remote attackers to hijack the authentication of administrators for requests that make arbitrary changes to an instance via vectors involving a file upload using a multipart/form-data submission.
28,CVE-2015-5178,254,None,None,2015-10-27,2015-10-28,4.3,None,Remote,Medium,Not required,None,Partial,None,"The Management Console in Red Hat Enterprise Application Platform before 6.4.4 and WildFly (formerly JBoss Application Server) does not send an X-Frame-Options HTTP header, which makes it easier for remote attackers to conduct clickjacking attacks via a crafted web page that contains a (1) FRAME or (2) IFRAME element."
29,CVE-2015-1849,200,None,+Info,2017-09-19,2017-10-04,4.3,None,Remote,Medium,Not required,Partial,None,None,AdvancedLdapLodinMogule in Red Hat JBoss Enterprise Application Platform (EAP) before 6.4.1 allows attackers to obtain sensitive information via vectors involving logging the LDAP bind credential password when TRACE logging is enabled.
30,CVE-2014-7853,200,None,+Info,2015-02-13,2017-09-07,4.0,None,Remote,Low,Single system,Partial,None,None,"The JBoss Application Server (WildFly) JacORB subsystem in Red Hat JBoss Enterprise Application Platform (EAP) before 6.3.3 does not properly assign socket-binding-ref sensitivity classification to the security-domain attribute, which allows remote authenticated users to obtain sensitive information by leveraging access to the security-domain attribute."
31,CVE-2014-7849,264,None,None,2015-02-13,2017-09-07,4.0,None,Remote,Low,Single system,None,Partial,None,"The Role Based Access Control (RBAC) implementation in JBoss Enterprise Application Platform (EAP) 6.2.0 through 6.3.2 does not properly verify authorization conditions, which allows remote authenticated users to add, modify, and undefine otherwise restricted attributes by leveraging the Maintainer role."
32,CVE-2014-7827,264,None,Bypass,2015-02-13,2017-09-07,3.5,None,Remote,Medium,Single system,None,Partial,None,"The org.jboss.security.plugins.mapping.JBossMappingManager implementation in JBoss Security in Red Hat JBoss Enterprise Application Platform (EAP) before 6.3.3 uses the default security domain when a security domain is undefined, which allows remote authenticated users to bypass intended access restrictions by leveraging credentials on the default domain for a role that is also on the application domain."
33,CVE-2014-3586,264,None,+Info,2015-04-21,2015-10-13,2.1,None,Local,Low,Not required,Partial,None,None,"The default configuration for the Command Line Interface in Red Hat Enterprise Application Platform before 6.4.0 and WildFly (formerly JBoss Application Server) uses weak permissions for .jboss-cli-history, which allows local users to obtain sensitive information via unspecified vectors."
34,CVE-2014-3530,200,None,+Info,2014-07-22,2018-01-04,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"The org.picketlink.common.util.DocumentUtil.getDocumentBuilderFactory method in PicketLink, as used in Red Hat JBoss Enterprise Application Platform (JBEAP) 5.2.0 and 6.2.4, expands entity references, which allows remote attackers to read arbitrary code and possibly have other unspecified impact via unspecified vectors, related to an XML External Entity (XXE) issue."
35,CVE-2014-3518,94,None,Exec Code,2014-07-22,2014-07-23,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"jmx-remoting.sar in JBoss Remoting, as used in Red Hat JBoss Enterprise Application Platform (JEAP) 5.2.0, Red Hat JBoss BRMS 5.3.1, Red Hat JBoss Portal Platform 5.2.2, and Red Hat JBoss SOA Platform 5.3.1, does not properly implement the JSR 160 specification, which allows remote attackers to execute arbitrary code via unspecified vectors."
36,CVE-2014-3490,None,None,None,2014-08-19,2017-01-06,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"RESTEasy 2.3.1 before 2.3.8.SP2 and 3.x before 3.0.9, as used in Red Hat JBoss Enterprise Application Platform (EAP) 6.3.0, does not disable external entities when the resteasy.document.expand.entity.references parameter is set to false, which allows remote attackers to read arbitrary files and have other unspecified impact via unspecified vectors, related to an XML External Entity (XXE) issue.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2012-0818."
