#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
1,CVE-2018-12712,20,None,File Inclusion,2018-06-26,2018-08-20,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"An issue was discovered in Joomla! 2.5.0 through 3.8.8 before 3.8.9. The autoload code checks classnames to be valid, using the ""class_exists"" function in PHP. In PHP 5.3, this function validates invalid names as valid, which can result in a Local File Inclusion."
2,CVE-2018-12711,79,None,XSS,2018-06-26,2018-08-20,4.3,None,Remote,Medium,Not required,None,Partial,None,"An XSS issue was discovered in the language switcher module in Joomla! 1.6.0 through 3.8.8 before 3.8.9. In some cases, the link of the current language might contain unescaped HTML special characters. This may lead to reflective XSS via injection of arbitrary parameters and/or values on the current page URL."
3,CVE-2018-11328,79,None,XSS,2018-05-22,2018-06-22,2.6,None,Remote,High,Not required,None,Partial,None,"An issue was discovered in Joomla! Core before 3.8.8. Under specific circumstances (a redirect issued with a URI containing a username and password when the Location: header cannot be used), a lack of escaping the user-info component of the URI could result in an XSS vulnerability."
4,CVE-2018-11327,200,None,+Info,2018-05-22,2018-06-22,4.0,None,Remote,Low,Single system,Partial,None,None,An issue was discovered in Joomla! Core before 3.8.8. Inadequate checks allowed users to see the names of tags that were either unpublished or published with restricted view permission.
5,CVE-2018-11326,79,None,XSS,2018-05-22,2018-06-22,3.5,None,Remote,Medium,Single system,None,Partial,None,"An issue was discovered in Joomla! Core before 3.8.8. Inadequate input filtering leads to a multiple XSS vulnerabilities. Additionally, the default filtering settings could potentially allow users of the default Administrator user group to perform a XSS attack."
6,CVE-2018-11325,255,None,None,2018-05-22,2018-06-22,5.0,None,Remote,Low,Not required,Partial,None,None,"An issue was discovered in Joomla! Core before 3.8.8. The web install application would autofill password fields after either a form validation error or navigating to a previous install step, and display the plaintext password for the administrator account at the confirmation screen."
7,CVE-2018-11324,362,None,None,2018-05-22,2018-06-22,4.3,None,Remote,Medium,Not required,None,Partial,None,"An issue was discovered in Joomla! Core before 3.8.8. A long running background process, such as remote checks for core or extension updates, could create a race condition where a session that was expected to be destroyed would be recreated."
8,CVE-2018-11323,264,None,None,2018-05-22,2018-06-22,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,An issue was discovered in Joomla! Core before 3.8.8. Inadequate checks allowed users to modify the access levels of user groups with higher permissions.
9,CVE-2018-11322,434,None,None,2018-05-22,2018-06-22,6.0,None,Remote,Medium,Single system,Partial,Partial,Partial,"An issue was discovered in Joomla! Core before 3.8.8. Depending on the server configuration, PHAR files might be handled as executable PHP scripts by the webserver."
10,CVE-2018-11321,20,None,None,2018-05-22,2018-06-22,4.0,None,Remote,Low,Single system,None,Partial,None,An issue was discovered in com_fields in Joomla! Core before 3.8.8. Inadequate filtering allows users authorised to create custom fields to manipulate the filtering options and inject an unvalidated option.
11,CVE-2018-8045,89,None,Sql,2018-03-14,2018-04-09,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"In Joomla! 3.5.0 through 3.8.5, the lack of type casting of a variable in a SQL statement leads to a SQL injection vulnerability in the User Notes list view."
12,CVE-2018-6380,79,None,XSS,2018-01-30,2018-02-13,4.3,None,Remote,Medium,Not required,None,Partial,None,"In Joomla! before 3.8.4, lack of escaping in the module chromes leads to XSS vulnerabilities in the module system."
13,CVE-2018-6379,79,None,XSS,2018-01-30,2018-02-13,4.3,None,Remote,Medium,Not required,None,Partial,None,"In Joomla! before 3.8.4, inadequate input filtering in the Uri class (formerly JUri) leads to an XSS vulnerability."
14,CVE-2018-6378,79,None,XSS,2018-05-22,2018-06-22,4.3,None,Remote,Medium,Not required,None,Partial,None,"In Joomla! Core before 3.8.8, inadequate filtering of file and folder names leads to various XSS attack vectors in the media manager."
15,CVE-2018-6377,79,None,XSS,2018-01-30,2018-02-13,4.3,None,Remote,Medium,Not required,None,Partial,None,"In Joomla! before 3.8.4, inadequate input filtering in com_fields leads to an XSS vulnerability in multiple field types, i.e., list, radio, and checkbox"
16,CVE-2018-6376,89,None,Sql,2018-01-30,2018-02-13,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"In Joomla! before 3.8.4, the lack of type casting of a variable in a SQL statement leads to a SQL injection vulnerability in the Hathor postinstall message."
17,CVE-2017-16634,287,None,Bypass,2017-11-09,2017-11-28,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"In Joomla! before 3.8.2, a bug allowed third parties to bypass a user's 2-factor authentication method."
18,CVE-2017-16633,200,None,+Info,2017-11-09,2017-11-28,4.0,None,Remote,Low,Single system,Partial,None,None,"In Joomla! before 3.8.2, a logic bug in com_fields exposed read-only information about a site's custom fields to unauthorized users."
19,CVE-2017-14596,90,None,None,2017-09-20,2017-09-27,5.0,None,Remote,Low,Not required,Partial,None,None,"In Joomla! before 3.8.0, inadequate escaping in the LDAP authentication plugin can result in a disclosure of a username and password."
20,CVE-2017-14595,200,None,+Info,2017-09-20,2017-09-27,4.3,None,Remote,Medium,Not required,Partial,None,None,"In Joomla! before 3.8.0, a logic bug in a SQL query could lead to the disclosure of article intro texts when these articles are in the archived state."
21,CVE-2017-11612,79,None,XSS,2017-07-26,2017-07-31,4.3,None,Remote,Medium,Not required,None,Partial,None,"In Joomla! before 3.7.4, inadequate filtering of potentially malicious HTML tags leads to XSS vulnerabilities in various components."
22,CVE-2017-11364,295,None,None,2017-08-02,2017-08-04,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"The CMS installer in Joomla! before 3.7.4 does not verify a user's ownership of a webspace, which allows remote authenticated users to gain control of the target application by leveraging Certificate Transparency logs."
23,CVE-2017-9934,79,None,XSS CSRF,2017-07-17,2017-07-21,4.3,None,Remote,Medium,Not required,None,Partial,None,Missing CSRF token checks and improper input validation in Joomla! CMS 1.7.3 through 3.7.2 lead to an XSS vulnerability.
