#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
1,CVE-2018-10795,434,None,None,2018-05-07,2018-06-13,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"** DISPUTED ** Liferay 6.2.x and before has an FCKeditor configuration that allows an attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment via a browser/liferay/browser.html?Type= or html/js/editor/fckeditor/editor/filemanager/browser/liferay/browser.html URI. NOTE: the vendor disputes this issue because file upload is an expected feature, subject to Role Based Access Control checks where only authenticated users with proper permissions can upload files."
2,CVE-2017-17868,79,None,XSS,2017-12-27,2018-01-09,4.3,None,Remote,Medium,Not required,None,Partial,None,"In Liferay Portal 6.1.0, the tags section has XSS via a Public Render Parameter (p_r_p) value, as demonstrated by p_r_p_564233524_tag."
3,CVE-2017-12649,79,None,XSS,2017-08-07,2017-08-09,4.3,None,Remote,Medium,Not required,None,Partial,None,XSS exists in Liferay Portal before 7.0 CE GA4 via a crafted title or summary that is mishandled in the Web Content Display.
4,CVE-2017-12648,79,None,XSS,2017-08-07,2017-08-09,4.3,None,Remote,Medium,Not required,None,Partial,None,XSS exists in Liferay Portal before 7.0 CE GA4 via a bookmark URL.
5,CVE-2017-12647,79,None,XSS,2017-08-07,2017-08-09,4.3,None,Remote,Medium,Not required,None,Partial,None,XSS exists in Liferay Portal before 7.0 CE GA4 via a Knowledge Base article title.
6,CVE-2017-12646,79,None,XSS,2017-08-07,2017-08-09,4.3,None,Remote,Medium,Not required,None,Partial,None,"XSS exists in Liferay Portal before 7.0 CE GA4 via a login name, password, or e-mail address."
7,CVE-2017-12645,79,None,XSS,2017-08-07,2017-08-09,4.3,None,Remote,Medium,Not required,None,Partial,None,XSS exists in Liferay Portal before 7.0 CE GA4 via an invalid portletId.
8,CVE-2016-10404,79,None,XSS,2017-08-07,2017-08-09,4.3,None,Remote,Medium,Not required,None,Partial,None,XSS exists in Liferay Portal before 7.0 CE GA4 via a crafted redirect field to modules/apps/foundation/frontend-js/frontend-js-spa-web/src/main/resources/META-INF/resources/init.jsp.
9,CVE-2016-6517,22,None,Dir. Trav.,2017-01-23,2017-01-25,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Directory traversal vulnerability in Liferay 5.1.0 allows remote attackers to have unspecified impact via a %2E%2E (encoded dot dot) in the minifierBundleDir parameter to barebone.jsp.
10,CVE-2016-3670,79,None,XSS,2016-06-13,2016-06-20,4.3,None,Remote,Medium,Not required,None,Partial,None,Cross-site scripting (XSS) vulnerability in users.jsp in the Profile Search functionality in Liferay before 7.0.0 CE RC1 allows remote attackers to inject arbitrary web script or HTML via the FirstName field.
11,CVE-2014-8349,79,None,XSS,2014-11-24,2015-08-06,3.5,None,Remote,Medium,Single system,None,Partial,None,Cross-site scripting (XSS) vulnerability in Liferay Portal Enterprise Edition (EE) 6.2 SP8 and earlier allows remote authenticated users to inject arbitrary web script or HTML via the _20_body parameter in the comment field in an uploaded file.
12,CVE-2014-2963,79,None,XSS,2014-07-10,2014-07-10,4.3,None,Remote,Medium,Not required,None,Partial,None,"Multiple cross-site scripting (XSS) vulnerabilities in group/control_panel/manage in Liferay Portal 6.1.2 CE GA3, 6.1.X EE, and 6.2.X EE allow remote attackers to inject arbitrary web script or HTML via the (1) _2_firstName, (2) _2_lastName, or (3) _2_middleName parameter."
