#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
1,CVE-2018-8159,264,None,None,5/9/18,6/6/18,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"An elevation of privilege vulnerability exists when Microsoft Exchange Outlook Web Access (OWA) fails to properly handle web requests, aka ""Microsoft Exchange Elevation of Privilege Vulnerability."" This affects Microsoft Exchange Server."
2,CVE-2018-8154,119,None,Exec Code Overflow Mem. Corr.,5/9/18,6/5/18,10,None,Remote,Low,Not required,Complete,Complete,Complete,"A remote code execution vulnerability exists in Microsoft Exchange software when the software fails to properly handle objects in memory, aka ""Microsoft Exchange Memory Corruption Vulnerability."" This affects Microsoft Exchange Server. This CVE ID is unique from CVE-2018-8151."
3,CVE-2018-8153,20,None,None,5/9/18,6/6/18,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"A spoofing vulnerability exists in Microsoft Exchange Server when Outlook Web Access (OWA) fails to properly handle web requests, aka ""Microsoft Exchange Spoofing Vulnerability."" This affects Microsoft Exchange Server."
4,CVE-2018-8152,264,None,None,5/9/18,6/5/18,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"An elevation of privilege vulnerability exists when Microsoft Exchange Outlook Web Access (OWA) fails to properly handle web requests, aka ""Microsoft Exchange Server Elevation of Privilege Vulnerability."" This affects Microsoft Exchange Server."
5,CVE-2018-8151,200,None,Mem. Corr. +Info,5/9/18,6/5/18,4.3,None,Remote,Medium,Not required,Partial,None,None,"An information disclosure vulnerability exists when Microsoft Exchange improperly handles objects in memory, aka ""Microsoft Exchange Memory Corruption Vulnerability."" This affects Microsoft Exchange Server. This CVE ID is unique from CVE-2018-8154."
6,CVE-2018-0986,119,None,Exec Code Overflow Mem. Corr.,4/4/18,8/3/18,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"A remote code execution vulnerability exists when the Microsoft Malware Protection Engine does not properly scan a specially crafted file, leading to memory corruption, aka ""Microsoft Malware Protection Engine Remote Code Execution Vulnerability."" This affects Windows Defender, Windows Intune Endpoint Protection, Microsoft Security Essentials, Microsoft System Center Endpoint Protection, Microsoft Exchange Server, Microsoft System Center, Microsoft Forefront Endpoint Protection."
7,CVE-2018-0941,200,None,#NAME?,3/14/18,4/9/18,4.3,None,Remote,Medium,Not required,Partial,None,None,"Microsoft Exchange Server 2016 Cumulative Update 7 and Microsoft Exchange Server 2016 Cumulative Update 8 allow an information disclosure vulnerability due to how data is imported, aka ""Microsoft Exchange Information Disclosure Vulnerability"". This CVE is unique from CVE-2018-0924."
8,CVE-2018-0940,200,None,#NAME?,3/14/18,4/11/18,4.3,None,Remote,Medium,Not required,Partial,None,None,"Microsoft Exchange Outlook Web Access (OWA) in Microsoft Exchange Server 2010 Service Pack 3 Update Rollup 20, Microsoft Exchange Server 2013 Cumulative Update 18, Microsoft Exchange Server 2013 Cumulative Update 19, Microsoft Exchange Server 2013 Service Pack 1, Microsoft Exchange Server 2016 Cumulative Update 7, and Microsoft Exchange Server 2016 Cumulative Update 8 allows an elevation of privilege vulnerability due to how links in the body of an email message are rewritten, aka ""Microsoft Exchange Elevation of Privilege Vulnerability""."
9,CVE-2018-0924,200,None,#NAME?,3/14/18,4/11/18,4.3,None,Remote,Medium,Not required,Partial,None,None,"Microsoft Exchange Server 2010 Service Pack 3 Update Rollup 20, Microsoft Exchange Server 2013 Cumulative Update 18, Microsoft Exchange Server 2013 Cumulative Update 19, Microsoft Exchange Server 2013 Service Pack 1, Microsoft Exchange Server 2016 Cumulative Update 7, and Microsoft Exchange Server 2016 Cumulative Update 8 allow an information disclosure vulnerability due to how URL redirects are handled, aka ""Microsoft Exchange Information Disclosure Vulnerability"". This CVE is unique from CVE-2018-0941."
10,CVE-2017-11932,20,None,None,12/12/17,1/2/18,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"Microsoft Exchange Server 2016 CU5 and Microsoft Exchange Server 2016 CU5 allow a spoofing vulnerability due to the way Outlook Web Access (OWA) validates web requests, aka ""Microsoft Exchange Spoofing Vulnerability""."
