#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
1,CVE-2018-8284,20,None,Exec Code,7/10/18,9/7/18,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"A remote code execution vulnerability exists when the Microsoft .NET Framework fails to validate input properly, aka "".NET Framework Remote Code Injection Vulnerability."" This affects Microsoft .NET Framework 2.0, Microsoft .NET Framework 3.0, Microsoft .NET Framework 4.6.2/4.7/4.7.1/4.7.2, Microsoft .NET Framework 4.5.2, Microsoft .NET Framework 4.6, Microsoft .NET Framework 4.7/4.7.1/4.7.2, Microsoft .NET Framework 4.7.1/4.7.2, Microsoft .NET Framework 3.5, Microsoft .NET Framework 3.5.1, Microsoft .NET Framework 4.6/4.6.1/4.6.2, Microsoft .NET Framework 4.6/4.6.1/4.6.2/4.7/4.7.1/4.7.1/4.7.2, Microsoft .NET Framework 4.7.2."
2,CVE-2018-8254,79,None,XSS,6/14/18,8/6/18,3.5,None,Remote,Medium,Single system,None,Partial,None,"An elevation of privilege vulnerability exists when Microsoft SharePoint Server does not properly sanitize a specially crafted web request to an affected SharePoint server, aka ""Microsoft SharePoint Elevation of Privilege Vulnerability."" This affects Microsoft Project Server, Microsoft SharePoint. This CVE ID is unique from CVE-2018-8252."
3,CVE-2018-8252,79,None,XSS,6/14/18,8/6/18,3.5,None,Remote,Medium,Single system,None,Partial,None,"An elevation of privilege vulnerability exists when Microsoft SharePoint Server does not properly sanitize a specially crafted web request to an affected SharePoint server, aka ""Microsoft SharePoint Elevation of Privilege Vulnerability."" This affects Microsoft SharePoint. This CVE ID is unique from CVE-2018-8254."
4,CVE-2018-8168,79,None,XSS,5/9/18,6/5/18,3.5,None,Remote,Medium,Single system,None,Partial,None,"An elevation of privilege vulnerability exists when Microsoft SharePoint Server does not properly sanitize a specially crafted web request to an affected SharePoint server, aka ""Microsoft SharePoint Elevation of Privilege Vulnerability."" This affects Microsoft SharePoint Server, Microsoft SharePoint. This CVE ID is unique from CVE-2018-8149, CVE-2018-8155, CVE-2018-8156."
5,CVE-2018-8161,119,None,Exec Code Overflow,5/9/18,6/5/18,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"A remote code execution vulnerability exists in Microsoft Office software when the software fails to properly handle objects in memory, aka ""Microsoft Office Remote Code Execution Vulnerability."" This affects Microsoft Word, Word, Microsoft Office, Microsoft SharePoint. This CVE ID is unique from CVE-2018-8157, CVE-2018-8158."
6,CVE-2018-8160,200,None,#NAME?,5/9/18,6/6/18,4.3,None,Remote,Medium,Not required,Partial,None,None,"An information disclosure vulnerability exists in Outlook when a message is opened, aka ""Microsoft Outlook Information Disclosure Vulnerability."" This affects Word, Microsoft Office."
7,CVE-2018-8156,79,None,XSS,5/9/18,6/5/18,3.5,None,Remote,Medium,Single system,None,Partial,None,"An elevation of privilege vulnerability exists when Microsoft SharePoint Server does not properly sanitize a specially crafted web request to an affected SharePoint server, aka ""Microsoft SharePoint Elevation of Privilege Vulnerability."" This affects Microsoft SharePoint, Microsoft Project Server. This CVE ID is unique from CVE-2018-8149, CVE-2018-8155, CVE-2018-8168."
8,CVE-2018-8155,79,None,XSS,5/9/18,6/5/18,3.5,None,Remote,Medium,Single system,None,Partial,None,"An elevation of privilege vulnerability exists when Microsoft SharePoint Server does not properly sanitize a specially crafted web request to an affected SharePoint server, aka ""Microsoft SharePoint Elevation of Privilege Vulnerability."" This affects Microsoft SharePoint. This CVE ID is unique from CVE-2018-8149, CVE-2018-8156, CVE-2018-8168."
9,CVE-2018-8149,79,None,XSS,5/9/18,6/5/18,3.5,None,Remote,Medium,Single system,None,Partial,None,"An elevation of privilege vulnerability exists when Microsoft SharePoint Server does not properly sanitize a specially crafted web request to an affected SharePoint server, aka ""Microsoft SharePoint Elevation of Privilege Vulnerability."" This affects Microsoft SharePoint Server, Microsoft SharePoint. This CVE ID is unique from CVE-2018-8155, CVE-2018-8156, CVE-2018-8168."
10,CVE-2018-0922,119,None,Exec Code Overflow Mem. Corr.,3/14/18,4/13/18,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"Microsoft Office 2010 SP2, 2013 SP1, and 2016, Microsoft Office 2016 Click-to-Run Microsoft Office 2016 for Mac, Microsoft Office Compatibility Pack SP2, Microsoft Office Web Apps 2010 SP2, Microsoft Office Web Apps 2013 SP1, Microsoft Office Word Viewer, Microsoft SharePoint Enterprise Server 2013 SP1, Microsoft SharePoint Enterprise Server 2016, Microsoft Office Compatibility Pack SP2, Microsoft Online Server 2016, Microsoft SharePoint Server 2010 SP2, Microsoft Word 2007 SP3, Microsoft Word 2010 SP2, Word 2013 and Microsoft Word 2016 allow a remote code execution vulnerability due to how objects are handled in memory, aka ""Microsoft Office Memory Corruption Vulnerability""."
11,CVE-2018-0919,200,None,#NAME?,3/14/18,4/9/18,4.3,None,Remote,Medium,Not required,Partial,None,None,"Microsoft Office 2010 SP2, 2013 SP1, and 2016, Microsoft Office 2016 Click-to-Run Microsoft Office 2016 for Mac, Microsoft Office Web Apps 2010 SP2, Microsoft Office Web Apps 2013 SP1, Microsoft SharePoint Enterprise Server 2013 SP1, Microsoft SharePoint Enterprise Server 2016, Microsoft SharePoint Server 2010 SP2, Microsoft Word 2010 SP2, Word 2013 SP1 and Microsoft Word 2016 allow an information disclosure vulnerability due to how variables are initialized, aka ""Microsoft Office Information Disclosure Vulnerability""."
12,CVE-2018-0864,79,None,XSS,2/14/18,3/14/18,3.5,None,Remote,Medium,Single system,None,Partial,None,"SharePoint Project Server 2013 and SharePoint Enterprise Server 2016 allow an information disclosure vulnerability due to how web requests are handled, aka ""Microsoft SharePoint Information Disclosure Vulnerability""."
13,CVE-2018-0797,119,None,Exec Code Overflow Mem. Corr.,1/9/18,2/12/18,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"Microsoft Office 2010, Microsoft Office 2013, and Microsoft Office 2016 allow a remote code execution vulnerability due to the way RTF content is handled, aka ""Microsoft Word Memory Corruption Vulnerability""."
14,CVE-2018-0792,119,None,Exec Code Overflow,1/9/18,1/29/18,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"Microsoft Word 2016 in Microsoft Office 2016 allows a remote code execution vulnerability due to the way objects are handled in memory, aka ""Microsoft Word Remote Code Execution Vulnerability"". This CVE is unique from CVE-2018-0794."
15,CVE-2018-0789,264,None,None,1/9/18,2/1/18,9,None,Remote,Low,Single system,Complete,Complete,Complete,"Microsoft SharePoint Foundation 2010, Microsoft SharePoint Server 2013 and Microsoft SharePoint Server 2016 allow an elevation of privilege vulnerability due to the way web requests are handled, aka ""Microsoft SharePoint Elevation of Privilege Vulnerability"". This CVE is unique from CVE-2018-0790."
16,CVE-2017-11826,119,None,Exec Code Overflow,10/13/17,12/11/17,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"Microsoft Office 2010, SharePoint Enterprise Server 2010, SharePoint Server 2010, Web Applications, Office Web Apps Server 2010 and 2013, Word Viewer, Word 2007, 2010, 2013 and 2016, Word Automation Services, and Office Online Server allow remote code execution when the software fails to properly handle objects in memory."
17,CVE-2017-8743,119,None,Exec Code Overflow,9/12/17,9/21/17,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"A remote code execution vulnerability exists in Microsoft PowerPoint 2016, Microsoft SharePoint Enterprise Server 2016, and Office Online Server when they fail to properly handle objects in memory, aka ""PowerPoint Remote Code Execution Vulnerability"". This CVE ID is unique from CVE-2017-8742."
18,CVE-2017-8742,119,None,Exec Code Overflow,9/12/17,9/29/17,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"A remote code execution vulnerability exists in Microsoft PowerPoint 2007 Service Pack 3, Microsoft PowerPoint 2010 Service Pack 2, Microsoft PowerPoint 2013 Service Pack 1, Microsoft PowerPoint 2013 RT Service Pack 1, Microsoft PowerPoint 2016, Microsoft PowerPoint Viewer 2007, Microsoft SharePoint Server 2013 Service Pack 1, Microsoft SharePoint Enterprise Server 2016, Microsoft Office Web Apps 2010 Service Pack 2, and Microsoft Office Compatibility Pack Service Pack 3 when they fail to properly handle objects in memory, aka ""PowerPoint Remote Code Execution Vulnerability"". This CVE ID is unique from CVE-2017-8743."
19,CVE-2017-8654,79,None,XSS,8/8/17,8/15/17,3.5,None,Remote,Medium,Single system,None,Partial,None,"Microsoft SharePoint Server 2010 Service Pack 2 allows a cross-site scripting (XSS) vulnerability when it does not properly sanitize a specially crafted web request to an affected SharePoint server, aka ""Microsoft Office SharePoint XSS Vulnerability""."
20,CVE-2017-8629,79,None,XSS,9/12/17,9/20/17,3.5,None,Remote,Medium,Single system,None,Partial,None,"Microsoft SharePoint Server 2013 Service Pack 1 allows an elevation of privilege vulnerability when it fails to properly sanitize a specially crafted web request to an affected SharePoint server, aka ""Microsoft SharePoint XSS Vulnerability""."
21,CVE-2017-8569,264,None,XSS,7/11/17,7/14/17,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"Microsoft SharePoint Server allows an elevation of privilege vulnerability due to the way that it sanitizes a specially crafted web request to an affected SharePoint server, aka ""SharePoint Server XSS Vulnerability""."
22,CVE-2017-8514,79,None,XSS,6/14/17,7/7/17,3.5,None,Remote,Medium,Single system,None,Partial,None,"An information disclosure vulnerability exists when Microsoft SharePoint software fails to properly sanitize a specially crafted requests, aka ""Microsoft SharePoint Reflective XSS Vulnerability""."
