#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
1,CVE-2018-1621,200,None,#NAME?,7/6/18,8/27/18,2.1,None,Local,Low,Not required,Partial,None,None,"IBM WebSphere Application Server 7.0, 8.0, 8.5, and 9.0 could allow a local attacker to obtain clear text password in a trace file caused by improper handling of some datasource custom properties. IBM X-Force ID: 144346."
2,CVE-2018-1614,200,None,#NAME?,6/26/18,8/24/18,5,None,Remote,Low,Not required,Partial,None,None,"IBM WebSphere Application Server 7.0, 8.0, 8.5, and 9.0 using malformed SAML responses from the SAML identity provider could allow a remote attacker to obtain sensitive information. IBM X-Force ID: 144270."
3,CVE-2018-1553,200,None,#NAME?,6/27/18,8/24/18,5,None,Remote,Low,Not required,Partial,None,None,"IBM WebSphere Application Server Liberty prior to 18.0.0.2 could allow a remote attacker to obtain sensitive information, caused by mishandling of exceptions by the SAML Web SSO feature. IBM X-Force ID: 142890."
4,CVE-2017-1788,284,None,None,3/22/18,4/16/18,5,None,Remote,Low,Not required,Partial,None,None,IBM WebSphere Application Server 9 installations using Form Login could allow a remote attacker to conduct spoofing attacks. IBM X-Force ID: 137031.
5,CVE-2017-1743,200,None,#NAME?,5/4/18,6/6/18,4,None,Remote,Low,Single system,Partial,None,None,"IBM WebSphere Application Server 7.0, 8.0, 8.5, and 9.0 could allow a remote attacker to obtain sensitive information caused by improper handling of Administrative Console panel fields. When exploited an attacker could browse the file system. IBM X-Force ID: 134933."
6,CVE-2017-1741,200,None,#NAME?,3/13/18,4/5/18,4,None,Remote,Low,Single system,Partial,None,None,"IBM WebSphere Application Server 7.0, 8.0, 8.5, and 9.0 could allow a remote attacker to obtain sensitive information caused by improper handling of Administrative Console panel fields. When exploited an attacker could read files on the file system. IBM X-Force ID: 134931."
7,CVE-2017-1731,264,None,#NAME?,1/30/18,2/14/18,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"IBM WebSphere Application Server 7.0, 8.0, 8.5, and 9.0 could provide weaker than expected security when using the Administrative Console. An authenticated remote attacker could exploit this vulnerability to possibly gain elevated privileges."
8,CVE-2017-1504,254,None,None,8/3/17,8/5/17,4,None,Remote,Low,Single system,Partial,None,None,IBM WebSphere Application Server version 9.0.0.4 could provide weaker than expected security after using the PasswordUtil command to enable AES password encryption. IBM X-Force ID: 129579.
9,CVE-2017-1503,79,None,XSS Http R.Spl. +Info,10/10/17,11/5/17,4.3,None,Remote,Medium,Not required,None,Partial,None,"IBM WebSphere Application Server 7.0, 8.0, 8.5, and 9.0 is vulnerable to HTTP response splitting attacks. A remote attacker could exploit this vulnerability using specially-crafted URL to cause the server to return a split response, once the URL is clicked. This would allow the attacker to perform further attacks, such as Web cache poisoning, cross-site scripting, and possibly obtain sensitive information. IBM X-Force ID: 129578."
10,CVE-2017-1501,200,None,#NAME?,8/18/17,8/24/17,4.3,None,Remote,Medium,Not required,Partial,None,None,"IBM WebSphere Application Server 8.0, 8.5, and 9.0 could provide weaker than expected security after using the Admin Console to update the web services security bindings settings. IBM X-Force ID: 129576."
11,CVE-2017-1382,264,None,None,7/24/17,7/27/17,3.6,None,Local,Low,Not required,Partial,Partial,None,"IBM WebSphere Application Server 7.0, 8.0, 8.5, and 9.0 might create files using the default permissions instead of the customized permissions when custom startup scripts are used. A local attacker could exploit this to gain access to files with an unknown impact. IBM X-Force ID: 127153."
12,CVE-2017-1381,200,None,#NAME?,7/21/17,7/31/17,2.1,None,Local,Low,Not required,Partial,None,None,"IBM WebSphere Application Server Proxy Server or On-demand-router (ODR) 7.0, 8.0, 8.5, 9.0 and could allow a local attacker to obtain sensitive information, caused by stale data being cached and then served. IBM X-Force ID: 127152."
13,CVE-2017-1380,79,None,XSS,7/24/17,7/27/17,3.5,None,Remote,Medium,Single system,None,Partial,None,"IBM WebSphere Application Server 7.0, 8.0, 8.5, and 9.0 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session. IBM X-Force ID: 127151."
