#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
1,CVE-2018-12895,22,None,Exec Code Dir. Trav.,6/26/18,8/20/18,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"WordPress through 4.9.6 allows Author users to execute arbitrary code by leveraging directory traversal in the wp-admin/post.php thumb parameter, which is passed to the PHP unlink function and can delete the wp-config.php file. This is related to missing filename validation in the wp-includes/post.php wp_delete_attachment function. The attacker must have capabilities for files and posts that are normally available only to the Author, Editor, and Administrator roles. The attack methodology is to delete wp-config.php and then launch a new installation process to increase the attacker's privileges."
2,CVE-2018-10102,79,None,XSS,4/16/18,5/18/18,4.3,None,Remote,Medium,Not required,None,Partial,None,"Before WordPress 4.9.5, the version string was not escaped in the get_the_generator function, and could lead to XSS in a generator tag."
3,CVE-2018-10101,601,None,None,4/16/18,6/2/18,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"Before WordPress 4.9.5, the URL validator assumed URLs with the hostname localhost were on the same host as the WordPress server."
4,CVE-2018-10100,601,None,None,4/16/18,5/18/18,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"Before WordPress 4.9.5, the redirection URL for the login page was not validated or sanitized if forced to use HTTPS."
5,CVE-2018-6389,399,None,DoS,2/6/18,3/5/18,5,None,Remote,Low,Not required,None,None,Partial,"In WordPress through 4.9.2, unauthenticated attackers can cause a denial of service (resource consumption) by using the large list of registered .js files (from wp-includes/script-loader.php) to construct a series of requests to load every file many times."
6,CVE-2018-5776,79,None,XSS,1/18/18,2/1/18,4.3,None,Remote,Medium,Not required,None,Partial,None,WordPress before 4.9.2 has XSS in the Flash fallback files in MediaElement (under wp-includes/js/mediaelement).
7,CVE-2017-1001000,264,None,None,4/2/17,7/24/17,5,None,Remote,Low,Not required,None,Partial,None,"The register_routes function in wp-includes/rest-api/endpoints/class-wp-rest-posts-controller.php in the REST API in WordPress 4.7.x before 4.7.2 does not require an integer identifier, which allows remote attackers to modify arbitrary pages via a request for wp-json/wp/v2/posts followed by a numeric value and a non-numeric value, as demonstrated by the wp-json/wp/v2/posts/123?id=123helloworld URI."
8,CVE-2017-17094,79,None,XSS,12/2/17,2/3/18,3.5,None,Remote,Medium,Single system,None,Partial,None,"wp-includes/feed.php in WordPress before 4.9.1 does not properly restrict enclosures in RSS and Atom fields, which might allow attackers to conduct XSS attacks via a crafted URL."
9,CVE-2017-17093,79,None,XSS,12/2/17,2/3/18,3.5,None,Remote,Medium,Single system,None,Partial,None,"wp-includes/general-template.php in WordPress before 4.9.1 does not properly restrict the lang attribute of an HTML element, which might allow attackers to conduct XSS attacks via the language setting of a site."
10,CVE-2017-17092,79,None,XSS,12/2/17,2/3/18,3.5,None,Remote,Medium,Single system,None,Partial,None,"wp-includes/functions.php in WordPress before 4.9.1 does not require the unfiltered_html capability for upload of .js files, which might allow remote attackers to conduct XSS attacks via a crafted file."
11,CVE-2017-17091,284,None,Bypass,12/2/17,2/3/18,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"wp-admin/user-new.php in WordPress before 4.9.1 sets the newbloguser key to a string that can be directly derived from the user ID, which allows remote attackers to bypass intended access restrictions by entering this string."
12,CVE-2017-16510,89,None,Sql,11/2/17,2/3/18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"WordPress before 4.8.3 is affected by an issue where $wpdb->prepare() can create unexpected and unsafe queries leading to potential SQL injection (SQLi) in plugins and themes, as demonstrated by a ""double prepare"" approach, a different vulnerability than CVE-2017-14723."
13,CVE-2017-14990,200,None,Sql +Info,10/2/17,11/9/17,4,None,Remote,Low,Single system,Partial,None,None,"WordPress 4.8.2 stores cleartext wp_signups.activation_key values (but stores the analogous wp_users.user_activation_key values as hashes), which might make it easier for remote attackers to hijack unactivated user accounts by leveraging database read access (such as access gained through an unspecified SQL injection vulnerability)."
14,CVE-2017-14726,79,None,XSS,9/23/17,11/9/17,4.3,None,Remote,Medium,Not required,None,Partial,None,"Before version 4.8.2, WordPress was vulnerable to a cross-site scripting attack via shortcodes in the TinyMCE visual editor."
15,CVE-2017-14725,601,None,None,9/23/17,11/9/17,4.9,None,Remote,Medium,Single system,Partial,Partial,None,"Before version 4.8.2, WordPress was susceptible to an open redirect attack in wp-admin/edit-tag-form.php and wp-admin/user-edit.php."
16,CVE-2017-14724,79,None,XSS,9/23/17,11/9/17,4.3,None,Remote,Medium,Not required,None,Partial,None,"Before version 4.8.2, WordPress was vulnerable to cross-site scripting in oEmbed discovery."
17,CVE-2017-14723,89,None,Sql,9/23/17,11/9/17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"Before version 4.8.2, WordPress mishandled % characters and additional placeholder values in $wpdb->prepare, and thus did not properly address the possibility of plugins and themes enabling SQL injection attacks."
18,CVE-2017-14722,22,None,Dir. Trav.,9/23/17,11/9/17,5,None,Remote,Low,Not required,Partial,None,None,"Before version 4.8.2, WordPress allowed a Directory Traversal attack in the Customizer component via a crafted theme filename."
19,CVE-2017-14721,79,None,XSS,9/23/17,11/9/17,4.3,None,Remote,Medium,Not required,None,Partial,None,"Before version 4.8.2, WordPress allowed Cross-Site scripting in the plugin editor via a crafted plugin name."
20,CVE-2017-14720,79,None,XSS,9/23/17,11/9/17,4.3,None,Remote,Medium,Not required,None,Partial,None,"Before version 4.8.2, WordPress allowed a Cross-Site scripting attack in the template list view via a crafted template name."
21,CVE-2017-14719,22,None,Dir. Trav.,9/23/17,11/9/17,5,None,Remote,Low,Not required,Partial,None,None,"Before version 4.8.2, WordPress was vulnerable to a directory traversal attack during unzip operations in the ZipArchive and PclZip components."
