#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
1,CVE-2018-10951,310,None,None,5/9/18,6/13/18,4,None,Remote,Low,Single system,Partial,None,None,"mailboxd in Zimbra Collaboration Suite 8.8 before 8.8.8; 8.7 before 8.7.11.Patch3; and 8.6 before 8.6.0.Patch10 allows zimbraSSLPrivateKey read access via a GetServer, GetAllServers, or GetAllActiveServers call in the Admin SOAP API."
2,CVE-2018-10950,200,None,#NAME?,5/9/18,6/13/18,5,None,Remote,Low,Not required,Partial,None,None,"mailboxd in Zimbra Collaboration Suite 8.8 before 8.8.8; 8.7 before 8.7.11.Patch3; and 8.6 before 8.6.0.Patch10 allows Information Exposure through Verbose Error Messages containing a stack dump, tracing data, or full user-context dump."
3,CVE-2018-10949,388,None,None,5/9/18,6/13/18,5,None,Remote,Low,Not required,Partial,None,None,"mailboxd in Zimbra Collaboration Suite 8.8 before 8.8.8; 8.7 before 8.7.11.Patch3; and 8.6 allows Account Enumeration by leveraging a Discrepancy between the ""HTTP 404 - account is not active"" and ""HTTP 401 - must authenticate"" errors."
4,CVE-2018-10939,79,None,XSS,5/30/18,7/2/18,4.3,None,Remote,Medium,Not required,None,Partial,None,Zimbra Web Client (ZWC) in Zimbra Collaboration Suite 8.8 before 8.8.8.Patch4 and 8.7 before 8.7.11.Patch4 has Persistent XSS via a contact group.
5,CVE-2017-7288,79,None,XSS,5/23/17,5/30/17,4.3,None,Remote,Medium,Not required,None,Partial,None,Cross-site scripting (XSS) vulnerability in Zimbra Collaboration Suite (ZCS) before 8.7.1 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.
6,CVE-2017-6821,22,None,Dir. Trav.,5/23/17,5/30/17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Directory traversal vulnerability in Zimbra Collaboration Suite (aka ZCS) before 8.7.6 allows attackers to have unspecified impact via unknown vectors.
7,CVE-2017-6813,264,None,None,5/23/17,5/30/17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,A service provided by Zimbra Collaboration Suite (ZCS) before 8.7.6 fails to require needed privileges before performing a few requested operations.
8,CVE-2016-9924,611,None,None,3/29/17,4/3/17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Zimbra Collaboration Suite (ZCS) before 8.7.4 allows remote attackers to conduct XML External Entity (XXE) attacks.
9,CVE-2016-5721,79,None,XSS,8/29/16,11/28/16,4.3,None,Remote,Medium,Not required,None,Partial,None,Multiple cross-site scripting (XSS) vulnerabilities in Zimbra Collaboration before 8.7.0 allow remote attackers to inject arbitrary web script or HTML via unspecified vectors.
10,CVE-2016-4019,None,None,None,1/18/17,2/2/17,4.3,None,Remote,Medium,Not required,None,Partial,None,"Unspecified vulnerability in Zimbra Collaboration before 8.7.0 allows remote attackers to affect integrity via unknown vectors, aka bug 104477."
11,CVE-2016-3999,79,None,XSS,1/18/17,2/2/17,4.3,None,Remote,Medium,Not required,None,Partial,None,"Multiple cross-site scripting (XSS) vulnerabilities in Zimbra Collaboration before 8.7.0 allow remote attackers to inject arbitrary web script or HTML via unspecified vectors, aka bugs 104552 and 104703."
12,CVE-2016-3415,502,None,None,1/18/17,2/2/17,6.4,None,Remote,Low,Not required,Partial,Partial,None,"Zimbra Collaboration before 8.7.0 allows remote attackers to conduct deserialization attacks via unspecified vectors, aka bug 102276."
13,CVE-2016-3414,None,None,None,1/18/17,2/2/17,4,None,Remote,Low,Single system,None,None,Partial,"Unspecified vulnerability in Zimbra Collaboration before 8.6.0 Patch 7 allows remote authenticated users to affect availability via unknown vectors, aka bug 102029."
14,CVE-2016-3413,None,None,None,1/18/17,2/1/17,5,None,Remote,Low,Not required,None,Partial,None,"Unspecified vulnerability in Zimbra Collaboration before 8.7.0 allows remote attackers to affect integrity via unknown vectors, aka bug 103996."
15,CVE-2016-3412,79,None,XSS,1/18/17,2/1/17,4.3,None,Remote,Medium,Not required,None,Partial,None,"Multiple cross-site scripting (XSS) vulnerabilities in Zimbra Collaboration before 8.7.0 allow remote attackers to inject arbitrary web script or HTML via unspecified vectors, aka bugs 103997, 104413, 104414, 104777, and 104791."
