#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
1,CVE-2018-12613,287,None,Exec Code Bypass,6/21/18,8/21/18,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"An issue was discovered in phpMyAdmin 4.8.x before 4.8.2, in which an attacker can include (view and potentially execute) files on the server. The vulnerability comes from a portion of code where pages are redirected and loaded within phpMyAdmin, and an improper test for whitelisted pages. An attacker must be authenticated, except in the ""$cfg['AllowArbitraryServer'] = true"" case (where an attacker can specify any host he/she is already in control of, and execute arbitrary code on phpMyAdmin) and the ""$cfg['ServerDefault'] = 0"" case (which bypasses the login requirement and runs the vulnerable code without any authentication)."
2,CVE-2018-12581,79,None,XSS,6/21/18,8/10/18,4.3,None,Remote,Medium,Not required,None,Partial,None,An issue was discovered in js/designer/move.js in phpMyAdmin before 4.8.2. A Cross-Site Scripting vulnerability has been found where an attacker can use a crafted database name to trigger an XSS attack when that database is referenced from the Designer feature.
3,CVE-2018-10188,352,None,CSRF,4/19/18,5/21/18,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"phpMyAdmin 4.8.0 before 4.8.0-1 has CSRF, allowing an attacker to execute arbitrary SQL statements, related to js/db_operations.js, js/tbl_operations.js, libraries/classes/Operations.php, and sql.php."
4,CVE-2018-7260,79,None,XSS,2/21/18,3/6/18,3.5,None,Remote,Medium,Single system,None,Partial,None,Cross-site scripting (XSS) vulnerability in db_central_columns.php in phpMyAdmin before 4.7.8 allows remote authenticated users to inject arbitrary web script or HTML via a crafted URL.
5,CVE-2017-1000499,352,None,CSRF,1/3/18,8/31/18,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"phpMyAdmin versions 4.7.x (prior to 4.7.6.1/4.7.7) are vulnerable to a CSRF weakness. By deceiving a user to click on a crafted URL, it is possible to perform harmful database operations such as deleting records, dropping/truncating tables etc."
6,CVE-2017-1000018,20,None,None,7/17/17,7/27/18,5,None,Remote,Low,Not required,None,None,Partial,"phpMyAdmin 4.0, 4.4., and 4.6 are vulnerable to a DOS attack in the replication status by using a specially crafted table name"
7,CVE-2017-1000017,918,None,None,7/17/17,7/27/18,6.5,None,Remote,Low,Single system,Partial,Partial,Partial,"phpMyAdmin 4.0, 4.4 and 4.6 are vulnerable to a weakness where a user with appropriate permissions is able to connect to an arbitrary MySQL server"
8,CVE-2017-1000016,20,None,None,7/17/17,7/26/17,5,None,Remote,Low,Not required,None,Partial,None,A weakness was discovered where an attacker can inject arbitrary values in to the browser cookies. This is a re-issue of an incomplete fix from PMASA-2016-18.
9,CVE-2017-1000015,79,None,XSS,7/17/17,7/27/18,4.3,None,Remote,Medium,Not required,None,Partial,None,"phpMyAdmin 4.0, 4.4, and 4.6 are vulnerable to a CSS injection attack through crafted cookie parameters"
10,CVE-2017-1000014,20,None,None,7/17/17,7/27/18,5,None,Remote,Low,Not required,None,None,Partial,"phpMyAdmin 4.0, 4.4, and 4.6 are vulnerable to a DOS weakness in the table editing functionality"
11,CVE-2017-1000013,601,None,None,7/17/17,7/27/18,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"phpMyAdmin 4.0, 4.4, and 4.6 are vulnerable to an open redirect weakness"
12,CVE-2017-18264,255,None,Bypass,5/1/18,8/21/18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"An issue was discovered in libraries/common.inc.php in phpMyAdmin 4.0 before 4.0.10.20, 4.4.x, 4.6.x, and 4.7.0 prereleases. The restrictions caused by $cfg['Servers'][$i]['AllowNoPassword'] = false are bypassed under certain PHP versions (e.g., version 5). This can allow the login of users who have no password set even if the administrator has set $cfg['Servers'][$i]['AllowNoPassword'] to false (which is also the default). This occurs because some implementations of the PHP substr function return false when given '' as the first argument."
13,CVE-2016-9866,352,None,CSRF,12/10/16,6/30/17,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"An issue was discovered in phpMyAdmin. When the arg_separator is different from its default & value, the CSRF token was not properly stripped from the return URL of the preference import action. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
14,CVE-2016-9865,502,None,Bypass,12/10/16,7/7/18,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"An issue was discovered in phpMyAdmin. Due to a bug in serialized string parsing, it was possible to bypass the protection offered by PMA_safeUnserialize() function. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
15,CVE-2016-9864,89,None,Sql,12/10/16,6/30/17,6,None,Remote,Medium,Single system,Partial,Partial,Partial,"An issue was discovered in phpMyAdmin. With a crafted username or a table name, it was possible to inject SQL statements in the tracking functionality that would run with the privileges of the control user. This gives read and write access to the tables of the configuration storage database, and if the control user has the necessary privileges, read access to some tables of the MySQL database. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
16,CVE-2016-9863,20,None,DoS,12/10/16,6/30/17,5,None,Remote,Low,Not required,None,None,Partial,"An issue was discovered in phpMyAdmin. With a very large request to table partitioning function, it is possible to invoke a Denial of Service (DoS) attack. All 4.6.x versions (prior to 4.6.5) are affected."
17,CVE-2016-9862,94,None,None,12/10/16,6/30/17,5,None,Remote,Low,Not required,None,Partial,None,An issue was discovered in phpMyAdmin. With a crafted login request it is possible to inject BBCode in the login page. All 4.6.x versions (prior to 4.6.5) are affected.
18,CVE-2016-9861,254,None,Bypass,12/10/16,6/30/17,5,None,Remote,Low,Not required,None,Partial,None,"An issue was discovered in phpMyAdmin. Due to the limitation in URL matching, it was possible to bypass the URL white-list protection. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
19,CVE-2016-9860,20,None,DoS,12/10/16,6/30/17,4.3,None,Remote,Medium,Not required,None,None,Partial,"An issue was discovered in phpMyAdmin. An unauthenticated user can execute a denial of service attack when phpMyAdmin is running with $cfg['AllowArbitraryServer']=true. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
20,CVE-2016-9859,20,None,DoS,12/10/16,6/30/17,5,None,Remote,Low,Not required,None,None,Partial,"An issue was discovered in phpMyAdmin. With a crafted request parameter value it is possible to initiate a denial of service attack in import feature. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
21,CVE-2016-9858,20,None,DoS,12/10/16,6/30/17,5,None,Remote,Low,Not required,None,None,Partial,"An issue was discovered in phpMyAdmin. With a crafted request parameter value it is possible to initiate a denial of service attack in saved searches feature. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
22,CVE-2016-9857,79,None,XSS,12/10/16,6/30/17,4.3,None,Remote,Medium,Not required,None,Partial,None,"An issue was discovered in phpMyAdmin. XSS is possible because of a weakness in a regular expression used in some JavaScript processing. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
23,CVE-2016-9856,79,None,XSS,12/10/16,6/30/17,4.3,None,Remote,Medium,Not required,None,Partial,None,"An XSS issue was discovered in phpMyAdmin because of an improper fix for CVE-2016-2559 in PMASA-2016-10. This issue is resolved by using a copy of a hash to avoid a race condition. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
24,CVE-2016-9855,200,None,#NAME?,12/10/16,6/30/17,5,None,Remote,Low,Not required,Partial,None,None,"An issue was discovered in phpMyAdmin. By calling some scripts that are part of phpMyAdmin in an unexpected way, it is possible to trigger phpMyAdmin to display a PHP error message which contains the full path of the directory where phpMyAdmin is installed. During an execution timeout in the export functionality, the errors containing the full path of the directory of phpMyAdmin are written to the export file. All 4.6.x versions (prior to 4.6.5), and 4.4.x versions (prior to 4.4.15.9) are affected. This CVE is for the PMA_shutdownDuringExport issue."
25,CVE-2016-9854,200,None,Exec Code +Info,12/10/16,6/30/17,5,None,Remote,Low,Not required,Partial,None,None,"An issue was discovered in phpMyAdmin. By calling some scripts that are part of phpMyAdmin in an unexpected way, it is possible to trigger phpMyAdmin to display a PHP error message which contains the full path of the directory where phpMyAdmin is installed. During an execution timeout in the export functionality, the errors containing the full path of the directory of phpMyAdmin are written to the export file. All 4.6.x versions (prior to 4.6.5), and 4.4.x versions (prior to 4.4.15.9) are affected. This CVE is for the json_decode issue."
26,CVE-2016-9853,200,None,#NAME?,12/10/16,6/30/17,5,None,Remote,Low,Not required,Partial,None,None,"An issue was discovered in phpMyAdmin. By calling some scripts that are part of phpMyAdmin in an unexpected way, it is possible to trigger phpMyAdmin to display a PHP error message which contains the full path of the directory where phpMyAdmin is installed. During an execution timeout in the export functionality, the errors containing the full path of the directory of phpMyAdmin are written to the export file. All 4.6.x versions (prior to 4.6.5), and 4.4.x versions (prior to 4.4.15.9) are affected. This CVE is for the fopen wrapper issue."
27,CVE-2016-9852,200,None,#NAME?,12/10/16,6/30/17,5,None,Remote,Low,Not required,Partial,None,None,"An issue was discovered in phpMyAdmin. By calling some scripts that are part of phpMyAdmin in an unexpected way, it is possible to trigger phpMyAdmin to display a PHP error message which contains the full path of the directory where phpMyAdmin is installed. During an execution timeout in the export functionality, the errors containing the full path of the directory of phpMyAdmin are written to the export file. All 4.6.x versions (prior to 4.6.5), and 4.4.x versions (prior to 4.4.15.9) are affected. This CVE is for the curl wrapper issue."
28,CVE-2016-9851,254,None,Bypass,12/10/16,6/30/17,5,None,Remote,Low,Not required,None,Partial,None,"An issue was discovered in phpMyAdmin. With a crafted request parameter value it is possible to bypass the logout timeout. All 4.6.x versions (prior to 4.6.5), and 4.4.x versions (prior to 4.4.15.9) are affected."
29,CVE-2016-9850,254,None,None,12/10/16,6/30/17,5,None,Remote,Low,Not required,None,Partial,None,"An issue was discovered in phpMyAdmin. Username matching for the allow/deny rules may result in wrong matches and detection of the username in the rule due to non-constant execution time. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
30,CVE-2016-9849,264,None,Bypass,12/10/16,6/30/17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"An issue was discovered in phpMyAdmin. It is possible to bypass AllowRoot restriction ($cfg['Servers'][$i]['AllowRoot']) and deny rules for username by using Null Byte in the username. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
31,CVE-2016-9848,200,None,#NAME?,12/10/16,6/30/17,5,None,Remote,Low,Not required,Partial,None,None,"An issue was discovered in phpMyAdmin. phpinfo (phpinfo.php) shows PHP information including values of HttpOnly cookies. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
32,CVE-2016-9847,310,None,None,12/10/16,6/30/17,5,None,Remote,Low,Not required,Partial,None,None,"An issue was discovered in phpMyAdmin. When the user does not specify a blowfish_secret key for encrypting cookies, phpMyAdmin generates one at runtime. A vulnerability was reported where the way this value is created uses a weak algorithm. This could allow an attacker to determine the user's blowfish_secret and potentially decrypt their cookies. All 4.6.x versions (prior to 4.6.5), 4.4.x versions (prior to 4.4.15.9), and 4.0.x versions (prior to 4.0.10.18) are affected."
33,CVE-2016-6633,None,None,Exec Code,12/10/16,6/30/17,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"An issue was discovered in phpMyAdmin. phpMyAdmin can be used to trigger a remote code execution attack against certain PHP installations that are running with the dbase extension. All 4.6.x versions (prior to 4.6.4), 4.4.x versions (prior to 4.4.15.8), and 4.0.x versions (prior to 4.0.10.17) are affected."
34,CVE-2016-6632,399,None,None,12/10/16,6/30/17,4.3,None,Remote,Medium,Not required,None,None,Partial,"An issue was discovered in phpMyAdmin where, under certain conditions, phpMyAdmin may not delete temporary files during the import of ESRI files. All 4.6.x versions (prior to 4.6.4), 4.4.x versions (prior to 4.4.15.8), and 4.0.x versions (prior to 4.0.10.17) are affected."
35,CVE-2016-6631,78,None,Exec Code,12/10/16,6/30/17,8.5,None,Remote,Medium,Single system,Complete,Complete,Complete,"An issue was discovered in phpMyAdmin. A user can execute a remote code execution attack against a server when phpMyAdmin is being run as a CGI application. Under certain server configurations, a user can pass a query string which is executed as a command-line argument by the file generator_plugin.sh. All 4.6.x versions (prior to 4.6.4), 4.4.x versions (prior to 4.4.15.8), and 4.0.x versions (prior to 4.0.10.17) are affected."
36,CVE-2016-6630,20,None,None,12/10/16,6/30/17,4,None,Remote,Low,Single system,None,None,Partial,"An issue was discovered in phpMyAdmin. An authenticated user can trigger a denial-of-service (DoS) attack by entering a very long password at the change password dialog. All 4.6.x versions (prior to 4.6.4), 4.4.x versions (prior to 4.4.15.8), and 4.0.x versions (prior to 4.0.10.17) are affected."
37,CVE-2016-6629,254,None,Bypass,12/10/16,6/30/17,10,None,Remote,Low,Not required,Complete,Complete,Complete,"An issue was discovered in phpMyAdmin involving the $cfg['ArbitraryServerRegexp'] configuration directive. An attacker could reuse certain cookie values in a way of bypassing the servers defined by ArbitraryServerRegexp. All 4.6.x versions (prior to 4.6.4), 4.4.x versions (prior to 4.4.15.8), and 4.0.x versions (prior to 4.0.10.17) are affected."
38,CVE-2016-6628,254,None,None,12/10/16,6/30/17,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"An issue was discovered in phpMyAdmin. An attacker may be able to trigger a user to download a specially crafted malicious SVG file. All 4.6.x versions (prior to 4.6.4), 4.4.x versions (prior to 4.4.15.8), and 4.0.x versions (prior to 4.0.10.17) are affected."
39,CVE-2016-6627,200,None,#NAME?,12/10/16,6/30/17,5,None,Remote,Low,Not required,Partial,None,None,"An issue was discovered in phpMyAdmin. An attacker can determine the phpMyAdmin host location through the file url.php. All 4.6.x versions (prior to 4.6.4), 4.4.x versions (prior to 4.4.15.8), and 4.0.x versions (prior to 4.0.10.17) are affected."
40,CVE-2016-6626,254,None,None,12/10/16,6/30/17,5.8,None,Remote,Medium,Not required,Partial,Partial,None,"An issue was discovered in phpMyAdmin. An attacker could redirect a user to a malicious web page. All 4.6.x versions (prior to 4.6.4), 4.4.x versions (prior to 4.4.15.8), and 4.0.x versions (prior to 4.0.10.17) are affected."
